zh	en	ja	note	status
专利开源	patent open source	特許を一定条件で開放する取り組み	Do not treat as the same as source-code open source.	Confirmed
人工智能安全治理框架	AI safety governance framework	人工知能安全ガバナンスフレームワーク	Use Japanese title with Chinese official title in parentheses when useful.	Confirmed
国际协作	international collaboration	国際協働	Use 国際的な協力 when it reads more naturally.	Confirmed
技术主权	technology sovereignty	技術主権	Explain neutrally as the ability to choose and operate important technologies without excessive external dependence.	Confirmed
公共产品	public goods	公共財	Use 公共的な技術基盤 when the context is technical infrastructure.	Confirmed
规则制定权	rule-making power	ルール形成への関与	Avoid literal 国際発言権 or overly slogan-like phrasing.	Confirmed
全球治理	global governance	グローバルガバナンス	Clarify the concrete context, such as standards, AI governance, or public infrastructure, when abstract.	Confirmed
全球南方	Global South	グローバルサウス	Explain briefly as emerging and developing countries mainly in Asia, Africa, and Latin America when useful.	Confirmed
智能鸿沟	intelligence divide	スマート・ディバイド	Explain as a gap in access to or use of AI and intelligent technologies.	Confirmed
中央网信办	Cyberspace Administration policy office	中央サイバー空間事務室	Chinese internet policy authority; add role explanation when useful.	Confirmed
AI 原生	AI native	AIネイティブ	Use for technologies, products, or architectures designed around AI from the outset.	needs-review
云原生	cloud native	クラウドネイティブ		needs-review
OSPO	Open Source Program Office	OSPO	Explain on first appearance as the organization or function responsible for open source strategy, compliance, and community participation inside a company.	Confirmed
OSDGs	Open Source Development Goals	OSDGs	Explain as an evaluation framework for open source value including environment, society, and governance.	Confirmed
OpenRank	OpenRank	OpenRank	Metric for evaluating contributor/project influence from collaboration relationships, not only raw activity counts.	Confirmed
OpenRank 贡献度	OpenRank Contribution Impact	OpenRank 貢献度	Use for the metric representing substantive contribution within collaboration networks.	needs-review
活跃开发者	active developer	アクティブ開発者	Developer who performed a defined contribution activity during the measurement period.	needs-review
活跃仓库	active repository	アクティブリポジトリ	Repository with recorded activity during the measurement period.	needs-review
生态引力	ecosystem gravity	エコシステムを引きつける力	Avoid literal 生態引力; explain as the ability of a project to attract global developers and organizations.	Confirmed
Gitee	Gitee	Gitee	Chinese code hosting platform associated with OSCHINA.	Confirmed
AtomGit	AtomGit	AtomGit	Chinese code hosting platform; keep official name.	Confirmed
GitCode	GitCode	GitCode	Chinese code hosting platform; keep official name.	Confirmed
基金会托管	foundation hosting	財団によるホスティング	Use for neutral foundation stewardship/hosting of open source projects.	Confirmed
出海	overseas expansion	海外展開	Use natural Japanese; avoid literal going to sea.	Confirmed
模型即服务	Model as a Service	Model as a Service（MaaS）	Explain on first appearance as using models as a service.	Confirmed
RAG	Retrieval-Augmented Generation	RAG	Explain on first appearance as retrieval-augmented generation that incorporates external data into AI responses.	Confirmed
魔搭社区	ModelScope	ModelScope	Chinese AI model community/platform; Chinese name may be added in parentheses on first appearance.	Confirmed
模型卡	model card	モデルカード	Explain as documentation describing model usage, performance, limitations, and licensing.	Confirmed
推理端点	inference endpoint	推論エンドポイント		Confirmed
模型网关	model gateway	モデルゲートウェイ		Confirmed
Open Core	Open Core	Open Core	Business model with an open source core and proprietary/paid extensions.	Confirmed
昇腾	Ascend	Ascend	Huawei AI processor/ecosystem; Chinese name 昇騰 may be added when useful.	Confirmed
自主可控	self-controlled / autonomous and controllable	自律的に管理できる技術基盤	Avoid slogan-like literal translation; explain according to context.	Confirmed
基石化	foundationalization	基盤化	Avoid literal 基石化; use for infrastructure projects becoming trusted industry foundations.	Confirmed
场景定义	scenario definition	ユースケース定義	Use in commercialization context where projects define concrete business/use scenarios.	Confirmed
Model Context Protocol	Model Context Protocol	Model Context Protocol	Keep official protocol name; MCP abbreviation may be used after first appearance.	Confirmed
RLHF	Reinforcement Learning from Human Feedback	RLHF	Explain when needed as reinforcement learning from human feedback.	Confirmed
財団ガバナンス	foundation governance	財団ガバナンス	Neutral foundation governance over trademarks, releases, roadmaps, security response, contribution rules, and shared decision-making.	Confirmed
商用ディストリビューション	commercial distribution	商用ディストリビューション	Use for vendor-provided enterprise/industry distributions built around an open source base.	Confirmed
互換性認証	compatibility certification	互換性認証	Use for certification that hardware/software/applications work with an open source platform.	Confirmed
技術的自立性を高める基盤	foundation for technological autonomy	技術的自立性を高める基盤	Use as natural Japanese for 自主可控-like business/policy contexts when appropriate.	Confirmed
GPUStack	GPUStack	GPUStack	GPU cluster/resource management and LLM inference infrastructure project.	Confirmed
KTransformers	KTransformers	KTransformers	Efficient LLM inference/fine-tuning framework using CPU/GPU resources.	Confirmed
KWDB	KWDB	KWDB	AIoT-oriented distributed multi-model database.	Confirmed
Mooncake	Mooncake	Mooncake	LLM serving infrastructure associated with Kimi.	Confirmed
spring-ai-alibaba	spring-ai-alibaba	spring-ai-alibaba	Java/Spring framework integrating Spring AI with Alibaba AI services and agent/workflow capabilities.	Confirmed
verl	verl	verl	Large-model reinforcement learning library from ByteDance Seed.	Confirmed
Utility model	Utility model	Utility モデル	Commercial model selling measurable AI utility such as throughput, latency, availability, and SLA.	Confirmed
Platform model	Platform model	Platform モデル	Commercial model selling production platform capabilities for AI/cloud-native workloads.	Confirmed
Compliance model	Compliance model	Compliance モデル	Commercial model selling compliance and trust capabilities around AI/open source usage.	Confirmed
Compliance-as-a-Service	Compliance-as-a-Service	Compliance-as-a-Service（CaaS）	Service model that embeds compliance requirements such as GDPR, SBOM, AI risk classification, vulnerability response, and data localization.	Confirmed
SLA	Service Level Agreement	SLA	Service quality agreement; explain as サービス品質保証 when useful.	Confirmed
TCO	Total Cost of Ownership	TCO	Total cost of ownership; explain as 総保有コスト when useful.	Confirmed
SBOM	Software Bill of Materials	SBOM	Software bill of materials; explain when needed as software component inventory.	Confirmed
OpenSSF Criticality Score	OpenSSF Criticality Score	OpenSSF Criticality Score	Metric for assessing criticality of open source projects.	Confirmed
exit	exit	exit	Use for startup exits such as M&A or IPO; explain when needed.	Confirmed
AIoT	AIoT	AIoT	AI plus IoT; explain when needed for industry/edge-device contexts.	Confirmed
FINOS	Fintech Open Source Foundation	FINOS	Linux Foundation organization for open source collaboration in financial services.	Confirmed
Open Source Promotion Plan	Open Source Promotion Plan	Open Source Promotion Plan（OSPP、開源之夏）	Chinese student open source participation program; explain as maintainer/developer pipeline when useful.	Confirmed
スマートグリッド	smart grid	スマートグリッド	Use for energy-sector digital grid use cases.	Confirmed
プライベートフォーク	private fork	プライベートフォーク	Private downstream fork maintained internally by an organization.	Confirmed
メンテナー層	maintainer pipeline	メンテナー層	Use for the pipeline/group of current and future maintainers supporting long-term project sustainability.	Confirmed
vibe coding	vibe coding	vibe coding	AI-assisted development style where agents handle much of dependency choice, code generation, and composition; explain on first appearance.	Confirmed
公地悲剧	tragedy of the commons	コモンズの悲劇	Explain as shared resources being degraded by overuse when users do not bear maintenance/governance responsibility.	Confirmed
resource quota	resource quota	リソースクォータ	Use for limits on compute/API/infrastructure usage.	Confirmed
デューデリジェンス	due diligence	デューデリジェンス	Use for capital/investment review of companies, projects, or community metrics.	Confirmed
Developer Relations	Developer Relations	Developer Relations	Function for developer outreach, community engagement, and feedback loops.	Confirmed
市場投入までの時間	time to market	市場投入までの時間	Use for reducing time from development to product release/market launch.	Confirmed
モデルリポジトリ	model repository	モデルリポジトリ	Repository/platform space for publishing, reusing, fine-tuning, downloading, and documenting AI models.	Confirmed
Utility 型	utility-oriented model	Utility 型	Use for business models selling stable, measurable, accessible AI utility/services.	Confirmed
アップストリーム・モーメント	upstream moment	アップストリーム・モーメント	Use for moments when license/governance changes push users toward neutral upstream/foundation projects.	Confirmed
ベンダーロックイン	vendor lock-in	ベンダーロックイン		Confirmed
制度面での安心感	institutional assurance	制度面での安心感	Use for trust created by stable licenses, transparent governance, and neutral stewardship.	Confirmed
人形机器人	humanoid robot	ヒューマノイドロボット	Use also for 人型机器人.	Confirmed
人型机器人	humanoid robot	ヒューマノイドロボット	Use also for 人形机器人.	Confirmed
量产	mass production	量産	Use in manufacturing and robotics production contexts.	Confirmed
落地	implementation / deployment	実用化 / 現場導入 / 本番利用	Choose based on context; avoid literal 落地.	confirmed
身体性	embodiment	身体性	Use for physical embodiment in robotics or embodied AI contexts.	Confirmed
模仿学习	imitation learning	模倣学習	Robotics and AI learning term.	Confirmed
强化学习	reinforcement learning	強化学習	Robotics and AI learning term.	Confirmed
数据采集	data collection	データ収集	Use for robotics data collection and dataset-building contexts.	Confirmed
RGB-D	RGB-D	RGB-D	Use for paired color and depth image data.	needs-review
点云数据	point cloud data	点群データ	Use for 3D spatial point data.	needs-review
遥操	teleoperation	遠隔操作	Use for human-operated robot control and data collection.	needs-review
第一视角	ego-centric / first-person view	一人称視点	Use for first-person or wearable-camera data collection.	needs-review
人手-物交互	human-object interaction	人手・物体インタラクション	Use in robotics datasets; HOI may be added on first appearance.	needs-review
机器人操作系统	robot operating system	ロボット操作システム	Use for robot OS / robotics operating system contexts; ロボットOS is acceptable in compact tables.	needs-review
中间件	middleware	ミドルウェア	Use for robotics middleware and system integration layers.	needs-review
运动控制	motion control	運動制御	Use for robotics motion-control systems and frameworks.	needs-review
全身控制	whole-body control	全身制御	Use WBC on first appearance when useful.	needs-review
数字孪生	digital twin	デジタルツイン	Use for simulation environments mirroring real-world assets or systems.	needs-review
边缘计算	edge computing	エッジコンピューティング	Use for computing near the device or robot side.	needs-review
端侧	on-device / edge-side	端側	Use for robot-side or device-side deployment contexts.	needs-review
零拷贝	zero-copy	ゼロコピー	Use for middleware or systems avoiding memory copies in data transfer.	needs-review
硬件本体	hardware body / robot body	ハードウェア本体	Use for physical robot body/hardware platform in embodied AI chapters.	needs-review
公版机	reference model / reference machine	共通リファレンス機	Use for shared reference hardware designs such as humanoid public/reference machines.	needs-review
开源硬件	open-source hardware	オープンソースハードウェア	Use for hardware designs, components, and related code released as open source.	needs-review
人才培养	talent development / training	人材育成	Use for education and workforce development contexts.	needs-review
系统思维	systems thinking	システム思考	Use for engineering education and systems-level robotics thinking.	needs-review
工程落地	engineering implementation	エンジニアリング実用化	Use for practical engineering implementation; avoid literal 落地.	needs-review
端云协同	device-cloud collaboration	端末とクラウドの協調	Use for architectures combining edge/device and cloud resources.	needs-review
力觉	force sensing	力覚	Use for contact/force feedback in robotics.	needs-review
滑移	slip	滑り	Use for tactile/contact sensing contexts.	needs-review
跨本体迁移	cross-embodiment transfer	機体をまたいだ移行	Use for transferring algorithms/data/capabilities across robot bodies.	needs-review
机器人基础模型	robot foundation model	ロボット基盤モデル	Use when the source discusses foundation models for robot behavior, control, perception, planning, or embodied robotic tasks. If the context is broader robotics research, consider ロボティクス向け基盤モデル.	needs-review
具身基础模型	embodied foundation model	フィジカルAI基盤モデル	Use when the model is a foundation model for embodied AI tasks, not only robots narrowly.	needs-review
世界模型	world model	世界モデル	Use for robotics, embodied AI, simulation, and interactive world modeling contexts.	Confirmed
可交互世界建模	interactive world modeling	相互作用可能な世界モデリング	Use for models that generate explorable, interactive, temporally consistent virtual worlds.	needs-review
视觉-语言-动作模型	vision-language-action model	視覚・言語・動作（VLA）モデル	Use for models that map visual input and language instructions to robot actions.	needs-review
VLA	vision-language-action	VLA（Vision-Language-Action、視覚・言語・行動を結びつけるモデル）	Use on first appearance when an explanation is helpful; plain VLA afterward.	needs-review
视觉语言模型	vision-language model	視覚言語モデル（VLM）	Use VLM when the English abbreviation is clearer in model architecture discussions.	needs-review
VLM	vision-language model	VLM（Vision-Language Model、視覚言語モデル）	Use on first appearance when an explanation is helpful; plain VLM afterward.	needs-review
端到端	end-to-end	エンドツーエンド	Use for models or systems trained or operated as a single pipeline.	needs-review
末端执行器	end effector	エンドエフェクタ	Robot arm tip or gripper-like component.	needs-review
消融实验	ablation experiment	アブレーション実験	Experiment that removes components or factors to compare their effect.	needs-review
后训练	post-training	ポストトレーニング	Use for additional training after pretraining; 後段の訓練 is acceptable when more natural.	needs-review
真机评测	real-robot evaluation	実機評価	Use for evaluation on physical robots rather than simulation.	needs-review
仿真评测	simulation evaluation	シミュレーション評価	Use for evaluation in simulated environments.	needs-review
零样本	zero-shot	ゼロショット	Use for tasks performed without task-specific examples or fine-tuning.	needs-review
视觉语言导航	vision-language navigation	視覚言語ナビゲーション	Use for navigation tasks driven by visual input and language instructions.	needs-review
部分成功率	partial success rate	部分成功率	Metric for partial completion in multi-step tasks.	needs-review
动作预测误差	action prediction error	動作予測誤差	Metric for imitation accuracy on new trajectories.	needs-review
Sim2Real	Sim2Real	Sim2Real	Technique or setting for transferring simulation-trained capabilities to real robots.	needs-review
Real2Real	Real2Real	Real2Real	Technique or setting for transferring data or capabilities across real robot environments.	needs-review
灾难性遗忘	catastrophic forgetting	破滅的忘却	New learning causes existing capabilities or knowledge to degrade.	needs-review
模态解耦	modality decoupling	モダリティ分離	Problem where visual, language, action, or other modality representations fail to connect well.	needs-review
自回归扩散模型	autoregressive diffusion model	自己回帰拡散モデル	Use for diffusion models that generate sequentially while referencing previous frames or states.	needs-review
