source_name	english_name	ja_display	category	note
清华大学交叉信息研究院	Institute for Interdisciplinary Information Sciences, Tsinghua University	清華大学交叉情報研究院（IIIS）	institute	Search hints: IIIS Tsinghua; Institute for Interdisciplinary Information Sciences; needs-review for Japanese display.
清华 AIR	Tsinghua AIR / Institute for AI Industry Research, Tsinghua University	清華大学 AIR	institute	Search hints: Tsinghua AIR; Institute for AI Industry Research.
同济子豪兄	Zihao Brother / Tongji Zihao	同済子豪兄	community/person	Search hints: 同济子豪兄; LeRobot Chinese tutorial; needs-review for English rendering.
LeRobot	LeRobot	LeRobot（Hugging Face主導のロボティクス向けオープンソース基盤）	platform/framework	Search hints: Hugging Face LeRobot.
ModelScope	魔搭社区 / ModelScope	ModelScope（魔搭社区、中国のAIモデル・データ共有プラットフォーム）	platform/community	Search hints: ModelScope; 魔搭社区.
CCF 智能机器人专委会	CCF Technical Committee on Intelligent Robotics	CCF智能ロボット専門委員会	organization	Search hints: CCF 智能机器人专委会; needs-review for official English name.
2025 EAI 十大教学项目	2025 EAI Top Ten Teaching Projects	2025 EAI 十大教学项目	benchmark/list	Search hints: 2025 EAI 十大教学项目; ModelScope EAI white paper; needs-review.
香港大学	The University of Hong Kong	香港大学（HKU）	institute	Search hints: HKU; The University of Hong Kong.
Embodied-AI-Guide	Embodied-AI-Guide	Embodied-AI-Guide（フィジカルAI学習ガイド）	community/project	Search hints: Embodied-AI-Guide GitHub.
上海交通大学 ScaleLab	Shanghai Jiao Tong University ScaleLab	上海交通大学 ScaleLab	institute/lab	Search hints: SJTU ScaleLab; 上海交通大学 ScaleLab; needs-review.
研究方向入门指南	research direction introductory guide	研究方向入門ガイド	community/project	Search hints: 上海交通大学 ScaleLab 研究方向入门指南; needs-review.
慧思开物	Huisi Kaiwu	慧思開物	project	Search hints: 慧思开物 XR-1; needs-review for official English name.
阿里巴巴达摩院	Alibaba DAMO Academy	Alibaba DAMO Academy（阿里巴巴達摩院）	institute	Search hints: Alibaba DAMO Academy; 达摩院.
乐云具身·SparkEdu	Leyun Embodied SparkEdu / SparkEdu	楽雲具身・SparkEdu	platform/project	Search hints: 乐云具身 SparkEdu; Alibaba DAMO Academy; needs-review for official English name.
古月居	GuYueHome	古月居（GuYueHome）	community/company	Search hints: GuYueHome; 古月居.
OriginBot	OriginBot	OriginBot（ROSベースの知能ロボットキット）	robot/hardware	Search hints: OriginBot; GuYueHome.
杭州智谷未来	Hangzhou Zhigu Future	杭州智谷未来	company/education	Search hints: 杭州智谷未来 ROS; needs-review for official English name.
Unitree RL Training	Unitree RL Training	Unitree RL Training（Unitreeの強化学習実習教材）	education/project	Search hints: Unitree RL Training.
四足运控与具身智能开发教程	Quadruped motion control and embodied AI development tutorial	四足運動制御とフィジカルAI開発チュートリアル	education/project	Search hints: 云深处 四足运控 具身智能开发教程; needs-review.
具身智能强化营	Embodied AI bootcamp / training camp	フィジカルAI強化キャンプ	education/project	Search hints: 清华 AIR 具身智能强化营; needs-review.
机器人与具身智能科普教程系列	Robotics and embodied AI popular science tutorial series	ロボットとフィジカルAIの普及解説チュートリアルシリーズ	education/project	Search hints: 同济子豪兄 机器人与具身智能科普教程系列; needs-review.
SO-100	SO-100	SO-100	robot/hardware	Search hints: SO-100 LeRobot; low-cost robot arm.
SO-101	SO-101	SO-101	robot/hardware	Search hints: SO-101 LeRobot; low-cost robot arm.
unitree_lerobot	unitree_lerobot	unitree_lerobot（Unitreeロボット向けLeRobot適応プロジェクト）	framework	Search hints: unitree_lerobot; Unitree LeRobot.
RLinf	RLinf	RLinf（フィジカルAI向け大規模強化学習訓練システム）	framework	Search hints: RLinf; embodied RL training system.
北京中关村学院	Beijing Zhongguancun Academy	北京中関村学院	institute	Search hints: Beijing Zhongguancun Academy; 北京中关村学院; needs-review for official English name.
无问芯穹	Infinigence AI	無問芯穹（Infinigence AI）	company	Search hints: Infinigence AI; 无问芯穹; needs-review for Japanese display.
M2Flow	M2Flow	M2Flow（RLinfの実行フロー機構）	framework	Search hints: M2Flow RLinf.
智元机器人	AgiBot	智元ロボット（AgiBot、中国のロボット企業）	company	Search hints: AgiBot; 智元机器人.
灵渠 OS	Lingqu OS	霊渠OS（Lingqu OS、智元ロボットのロボットOS）	platform/framework	Search hints: Lingqu OS; 灵渠 OS; needs-review for official English spelling.
AimRT	AimRT	AimRT（ロボット向け通信ミドルウェアフレームワーク）	framework	Search hints: AimRT; AgiBot; Lingqu OS.
开放原子开源基金会	OpenAtom Foundation	OpenAtom Foundation	organization	Use existing official English name; search hints: OpenAtom Foundation.
M-Robots OS	M-Robots OS	M-Robots OS（OpenHarmonyベースのロボットOS）	platform/framework	Search hints: M-Robots OS; OpenHarmony robot OS.
开源鸿蒙	OpenHarmony	OpenHarmony	platform/framework	Search hints: OpenHarmony; 开源鸿蒙.
中国科学院软件研究所	Institute of Software, Chinese Academy of Sciences	中国科学院ソフトウェア研究所（ISCAS）	institute	Search hints: ISCAS; Institute of Software Chinese Academy of Sciences.
AGIROS	AGIROS	AGIROS（智能ロボット操作システムのオープンソースコミュニティ）	platform/community	Search hints: AGIROS; intelligent robot operating system; needs-review.
Dora-RS	Dataflow-Oriented Robotic Architecture	Dora-RS（Dataflow-Oriented Robotic Architecture、低遅延ロボットミドルウェア）	framework	Search hints: Dora-RS; Dataflow-Oriented Robotic Architecture.
青龙机器人	AzureLoong / Qinglong Robot	青龍ロボット	robot/hardware	Search hints: 青龙机器人; OpenLoong; needs-review for official English name.
北京人形	Beijing Humanoid Robot Innovation Center	北京ヒューマノイドロボットイノベーションセンター	institute	Search hints: 北京人形; Beijing Humanoid; needs-review for official English name.
具身天工	Tianggong / Embodied Tiangong	具身天工	framework	Search hints: 具身天工; Tiangong humanoid; needs-review for official English name.
具身天工 3.0	Tianggong 3.0 / Embodied Tiangong 3.0	具身天工 3.0	framework/robot	Search hints: 具身天工 3.0; 天工开源计划; needs-review for official English name.
上海萝博派对科技	RoboParty	上海萝博派对科技（RoboParty）	company	Treat 上海萝博派对科技 as a proper noun. Search hints: RoboParty; needs-review for official English name.
roboto_origin	roboto_origin	roboto_origin（二足歩行ヒューマノイドロボット原型機）	robot/hardware	Search hints: roboto_origin; RoboParty; humanoid robot prototype.
云深处	DeepRobotics	云深处科技（DeepRobotics）	company	Treat 云深处科技 as a proper noun. Search hints: DeepRobotics; 杭州云深处科技.
unitree_rl_gym	unitree_rl_gym	unitree_rl_gym（Unitreeの強化学習運動制御環境）	framework	Search hints: unitree_rl_gym; Unitree reinforcement learning gym.
Project Instinct	Project Instinct	Project Instinct（ヒューマノイドロボット全身制御フレームワーク）	framework	Search hints: Project Instinct humanoid whole-body control.
InstinctLab	InstinctLab	InstinctLab（Project Instinctの中核ツールキット）	framework	Search hints: InstinctLab Project Instinct.
Genie Sim 3.0	Genie Sim 3.0	Genie Sim 3.0（LLM駆動のロボットシミュレーションプラットフォーム）	platform	Search hints: Genie Sim 3.0; AgiBot; NVIDIA Isaac Sim.
地瓜机器人	D-Robotics	地瓜机器人（D-Robotics、中国のロボット開発基盤企業）	company	Treat 地瓜机器人 as a proper noun; do not translate as 地瓜ロボット. Search hints: D-Robotics; 地瓜机器人.
RDK	Robot Developer Kit	RDK（Robot Developer Kit、D-Roboticsの開発キット）	platform/hardware	Search hints: D-Robotics RDK; Robot Developer Kit.
RDK X5	RDK X5	RDK X5（D-Roboticsのロボット開発ボード）	hardware	Search hints: RDK X5; D-Robotics.
火山引擎	Volcengine	Volcengine（火山引擎、ByteDance系クラウドサービス）	platform/company	Search hints: Volcengine; 火山引擎; ByteDance cloud.
